code,name,order
NCR,National Capital Region,1
CAR,Cordillera Administrative Region,2
Region I,Ilocos Region,3
Region II,Cagayan Valley,4
Region III,Central Luzon,5
Region IV-A,Southern Tagalog Mainland,6
Region IV-B,Mimaropa,7
Region V,Bicol Region,8
Region VI,Western Visayas,9
Region VII,Central Visayas,10
Region VIII,Eastern Visayas,11
Region IX,Zamboanga Peninsula,12
Region X,Northern Mindanao,13
Region XI,Davao Region,14
Region XII,Soccsksargen,15
Region XIII,Caraga Region,16
BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,17

